"No","地域階層","地域コード","Item number","地域","District","昼間人口 Daytime population／昭和60年 1985","昼間人口 Daytime population／平成2年 1990","昼間人口 Daytime population／平成7年 1995","昼間人口 Daytime population／平成12年 2000","昼間人口 Daytime population／平成17年 2005","昼間人口 Daytime population／平成22年 2010","昼間人口 Daytime population／平成27年 2015","昼間人口 Daytime population／平成27年 2015／男 Male","昼間人口 Daytime population／平成27年 2015／女 Female","常住人口 De jure population 1)／昭和60年 1985","常住人口 De jure population 1)／平成2年 1990","常住人口 De jure population 1)／平成7年 1995","常住人口 De jure population 1)／平成12年 2000","常住人口 De jure population 1)／平成17年 2005","常住人口 De jure population 1)／平成22年 2010","常住人口 De jure population 1)／平成27年 2015","常住人口 De jure population 1)／平成27年 2015／男 Male","常住人口 De jure population 1)／平成27年 2015／女 Female"
22,2,13109,9,品川区,Shinagawa-ku,419261,455826,462609,478529,505034,527019,544022,311612,232410,357286,344163,325180,322682,344888,365302,386855,191090,195765
23,2,13110,10,目黒区,Meguro-ku,265786,267235,269947,267322,271320,293382,293832,145165,148667,268931,247036,241676,239489,248749,268330,277622,130947,146675
24,2,13111,11,大田区,Ota-ku,660188,653517,647545,655573,657209,684451,693865,363471,330394,662719,646265,634844,650323,664027,693373,717082,359753,357329
25,2,13112,12,世田谷区,Setagaya-ku,683539,671354,688081,706522,736040,812810,856870,398659,458211,810760,785633,780798,796874,820320,877138,903346,428874,474472
26,2,13113,13,渋谷区,Shibuya-ku,508815,547216,536851,549715,542803,520698,539109,286414,252695,242416,201562,188235,196337,199280,204492,224533,107986,116547
27,2,13114,14,中野区,Nakano-ku,267237,257848,261174,272250,285636,289176,313270,159163,154107,335500,311790,304379,309513,310392,314750,328215,165382,162833
28,2,13115,15,杉並区,Suginami-ku,417998,412985,411526,427162,439379,480172,479975,223384,256591,538589,525843,508004,520095,522582,549569,563997,271737,292260
29,2,13116,16,豊島区,Toshima-ku,383925,425691,424002,408802,378475,422995,417146,216834,200312,277558,256654,243919,248201,233141,284678,291167,146827,144340
30,2,13117,17,北区,Kita-ku,338454,322529,318682,308653,307317,321581,329753,166442,163311,367399,351119,333004,326671,330345,335544,341076,169829,171247
31,2,13118,18,荒川区,Arakawa-ku,185355,178567,175354,176358,184021,191626,194004,98385,95619,190029,183895,176833,180441,191163,203296,212264,105113,107151
